id;uhrzeit (utc);MAC;IP
1;2024-11-05T13_08_00_01_00;F8:59:71:65:4A:6E;192.168.33.101
2;2024-11-05T13_08_00_01_00;B4:B5:B6:F1:1F:D3;192.168.33.102
3;2024-11-05T13_08_00_01_00;A8:3B:76:73:76:79;192.168.33.103
4;2024-11-05T13_08_00_01_00;00:45:E2:E1:EC:0B;192.168.33.104
5;2024-11-05T13_08_00_01_00;38:F9:D3:BA:7C:08;192.168.33.105
6;2024-11-05T13_08_00_01_00;E0:0A:F6:9F:97:75;192.168.33.106
7;2024-11-05T13_08_00_01_00;1E:20:6D:64:87:65;192.168.33.107
8;2024-11-05T13_08_00_01_00;C0:35:32:67:3E:27;192.168.33.108
9;2024-11-05T13_08_00_01_00;9C:2F:9D:A7:06:37;192.168.33.109
10;2024-11-05T13_08_00_01_00;30:C9:AB:FE:1E:C7;192.168.33.110
11;2024-11-05T13_08_00_01_00;A8:41:F4:E6:3C:46;192.168.33.111
12;2024-11-05T13_08_00_01_00;00:D4:9E:A6:11:70;192.168.33.112
13;2024-11-05T13_08_00_01_00;60:E9:AA:E3:BF:ED;192.168.33.113
14;2024-11-05T13_08_00_01_00;60:45:2E:DD:09:0A;192.168.33.114
